artwork_id,artist_name,artist_experience_years,artist_followers,art_style,medium,dominant_color,visual_complexity_score,height_cm,width_cm,creation_year,listing_price_usd,gallery_displayed,online_exclusive,upload_platform
75,Salvador Dalí,43,967334,Impressionism,Digital,Green,3.69,132,56,1980,51305.2,1,1,Instagram
76,Vincent van Gogh,17,3458695,Cubism,Acrylic,Red,3.69,62,83,1903,51305.2,0,1,Instagram
77,Leonardo da Vinci,22,891469,Cubism,Ink,Yellow,3.69,38,171,1944,51305.2,0,1,Instagram
78,Jackson Pollock,27,1270462,Modern,Oil,White,3.69,40,179,2007,51305.2,1,0,Art Marketplace
79,Gustav Klimt,37,3217806,Cubism,Digital,Black,3.69,153,85,1979,51305.2,0,0,Art Marketplace
80,Jackson Pollock,43,2694391,Realism,Ink,White,3.69,105,137,1911,51305.2,0,0,Art Marketplace
81,Andy Warhol,44,900719,Modern,Watercolor,Black,3.69,167,89,1948,51305.2,0,1,Art Marketplace
82,Jackson Pollock,22,4343281,Cubism,Digital,Red,3.69,83,80,1950,51305.2,1,1,Art Marketplace
83,Edvard Munch,13,2320323,Surrealism,Oil,Red,3.69,104,173,1924,51305.2,1,0,Online Gallery
84,Georgia O'Keeffe,37,3847043,Cubism,Ink,Green,3.69,126,157,1911,51305.2,1,0,Art Marketplace
85,Gustav Klimt,36,3353979,Abstract,Ink,Red,3.69,177,163,1907,51305.2,0,0,Instagram
86,Claude Monet,21,1995124,Surrealism,Acrylic,Red,3.69,34,30,1976,51305.2,0,1,Instagram
87,Paul Cézanne,23,4472694,Surrealism,Digital,Red,3.69,53,41,1893,51305.2,0,0,Instagram
88,Pablo Picasso,31,269602,Surrealism,Oil,Yellow,3.69,189,53,2020,51305.2,0,0,Art Marketplace
89,Leonardo da Vinci,10,1572737,Realism,Watercolor,Green,3.69,60,155,2008,51305.2,1,1,Instagram
90,Vincent van Gogh,39,1243155,Realism,Acrylic,Red,3.69,135,104,1992,51305.2,1,0,Art Marketplace
91,Georgia O'Keeffe,41,1059604,Cubism,Digital,Red,3.69,73,134,1992,51305.2,1,0,Instagram
92,Leonardo da Vinci,38,1288399,Modern,Oil,White,3.69,176,191,1909,51305.2,0,1,Online Gallery
93,Vincent van Gogh,24,2416197,Cubism,Acrylic,White,3.69,53,86,1913,51305.2,0,0,Art Marketplace
94,Paul Cézanne,29,2099716,Cubism,Oil,Black,3.69,147,178,1925,51305.2,1,1,Instagram
95,Frida Kahlo,8,2333476,Cubism,Oil,Yellow,3.69,41,69,1880,51305.2,0,0,Instagram
96,Frida Kahlo,14,2995139,Abstract,Acrylic,Red,3.69,114,62,2014,51305.2,0,0,Instagram
97,Michelangelo,14,819110,Surrealism,Acrylic,Yellow,3.69,144,190,1898,51305.2,0,0,Instagram
98,Leonardo da Vinci,28,881876,Impressionism,Digital,Green,3.69,54,185,2020,51305.2,0,1,Online Gallery
99,Frida Kahlo,25,279507,Modern,Acrylic,Green,3.69,146,137,1902,51305.2,0,0,Online Gallery
100,Edvard Munch,15,1723002,Modern,Digital,White,3.69,171,94,1945,51305.2,0,0,Art Marketplace
101,Gustav Klimt,31,2150696,Surrealism,Oil,Blue,3.69,101,105,2010,51305.2,0,1,Online Gallery
102,Vincent van Gogh,20,3150917,Modern,Acrylic,Black,3.69,58,75,1965,51305.2,0,1,Art Marketplace
103,Michelangelo,30,4997488,Surrealism,Digital,Blue,3.69,54,190,1966,51305.2,1,0,Art Marketplace
104,Jackson Pollock,34,1061058,Modern,Digital,Yellow,3.69,116,137,1951,51305.2,0,1,Online Gallery
105,Vincent van Gogh,20,3931516,Cubism,Watercolor,Black,3.69,129,193,1968,51305.2,1,1,Art Marketplace
106,Michelangelo,11,3011640,Abstract,Digital,White,3.69,169,143,1990,51305.2,0,1,Art Marketplace
107,Paul Cézanne,20,1578663,Modern,Digital,Red,3.69,169,81,2018,51305.2,1,0,Online Gallery
108,Leonardo da Vinci,39,3110573,Modern,Watercolor,White,3.69,111,178,1920,51305.2,0,1,Online Gallery
109,Paul Cézanne,20,4602454,Impressionism,Ink,White,3.69,129,153,1885,51305.2,0,0,Instagram
110,Gustav Klimt,44,1374943,Abstract,Acrylic,Black,3.69,48,59,1985,51305.2,1,0,Instagram
111,Johannes Vermeer,16,2842132,Cubism,Watercolor,Black,3.69,141,172,1924,51305.2,0,1,Instagram
112,Gustav Klimt,39,3454428,Abstract,Digital,Green,3.69,82,166,1961,51305.2,0,0,Online Gallery
113,Georgia O'Keeffe,25,4602429,Abstract,Digital,Blue,3.69,64,61,1897,51305.2,1,0,Art Marketplace
114,Paul Cézanne,47,4047879,Modern,Acrylic,Green,3.69,142,101,1886,51305.2,1,0,Online Gallery
115,Andy Warhol,40,620692,Realism,Oil,Green,3.69,184,180,1908,51305.2,1,1,Art Marketplace
116,Jackson Pollock,21,1788318,Modern,Watercolor,Blue,3.69,96,56,2023,51305.2,0,1,Art Marketplace
117,Rembrandt,36,3369593,Surrealism,Ink,Green,3.69,80,71,1953,51305.2,0,0,Art Marketplace
118,Paul Cézanne,45,108018,Impressionism,Acrylic,Black,3.69,134,37,1895,51305.2,1,1,Online Gallery
119,Georgia O'Keeffe,10,4353251,Abstract,Acrylic,Yellow,3.69,176,40,1883,51305.2,0,0,Instagram
120,Salvador Dalí,28,226325,Surrealism,Watercolor,Red,3.69,72,178,1944,51305.2,0,1,Art Marketplace
121,Johannes Vermeer,31,4234911,Cubism,Digital,Red,3.69,64,73,1951,51305.2,0,0,Instagram
122,Edvard Munch,24,66684,Surrealism,Digital,Green,3.69,44,196,2008,51305.2,1,1,Instagram
123,Vincent van Gogh,29,3580225,Realism,Ink,Blue,3.69,173,62,2010,51305.2,0,1,Instagram
124,Gustav Klimt,6,1867334,Abstract,Watercolor,Black,3.69,128,96,1943,51305.2,0,1,Instagram
125,Salvador Dalí,13,542889,Modern,Acrylic,Green,3.69,98,84,1945,51305.2,1,0,Instagram
126,Georgia O'Keeffe,32,1702458,Abstract,Watercolor,Black,3.69,114,42,1968,51305.2,1,1,Art Marketplace
127,Michelangelo,42,2889719,Impressionism,Oil,Black,3.69,198,65,1936,51305.2,1,0,Art Marketplace
128,Rembrandt,7,1203279,Abstract,Acrylic,White,3.69,59,116,1980,51305.2,0,0,Art Marketplace
129,Jackson Pollock,24,1680684,Surrealism,Ink,Red,3.69,176,55,1989,51305.2,0,0,Online Gallery
130,Jackson Pollock,10,1483662,Surrealism,Ink,Yellow,3.69,117,67,1897,51305.2,1,0,Online Gallery
131,Jackson Pollock,43,425431,Modern,Acrylic,Yellow,3.69,75,129,1985,51305.2,0,1,Online Gallery
132,Edvard Munch,37,674384,Modern,Digital,Blue,3.69,89,180,1918,51305.2,0,1,Instagram
133,Rembrandt,5,81949,Modern,Acrylic,Yellow,3.69,108,165,2003,51305.2,1,0,Art Marketplace
134,Edvard Munch,41,2970439,Cubism,Acrylic,Green,3.69,53,43,2000,51305.2,0,0,Instagram
135,Gustav Klimt,10,1007486,Impressionism,Oil,Red,3.69,193,53,1963,51305.2,0,1,Online Gallery
136,Edvard Munch,49,2802995,Cubism,Acrylic,Red,3.69,43,148,1886,51305.2,0,1,Instagram
137,Pablo Picasso,38,2088820,Cubism,Watercolor,Black,3.69,68,197,1991,51305.2,0,0,Instagram
138,Rembrandt,19,757932,Cubism,Watercolor,Green,3.69,37,130,1947,51305.2,1,1,Instagram
139,Andy Warhol,49,1457303,Abstract,Ink,Green,3.69,109,182,1915,51305.2,0,1,Online Gallery
140,Rembrandt,30,4088155,Realism,Digital,Black,3.69,110,147,2003,51305.2,0,1,Instagram
141,Georgia O'Keeffe,18,3816646,Abstract,Ink,White,3.69,70,182,1880,51305.2,1,0,Art Marketplace
142,Pablo Picasso,11,1544563,Modern,Oil,White,3.69,64,46,1914,51305.2,0,0,Instagram
143,Jackson Pollock,35,1338986,Impressionism,Acrylic,Black,3.69,83,161,1955,51305.2,0,0,Instagram
144,Georgia O'Keeffe,28,593843,Cubism,Ink,Red,3.69,194,114,1959,51305.2,0,1,Online Gallery
145,Georgia O'Keeffe,35,2165147,Abstract,Acrylic,Green,3.69,47,138,1911,51305.2,1,0,Instagram
146,Gustav Klimt,33,2046836,Surrealism,Ink,Yellow,3.69,50,140,1914,51305.2,0,1,Art Marketplace
147,Henri Matisse,46,1656141,Cubism,Acrylic,Yellow,3.69,71,134,2007,51305.2,1,1,Art Marketplace
148,Claude Monet,36,2565745,Abstract,Ink,Red,3.69,94,110,1898,51305.2,0,0,Online Gallery
149,Pablo Picasso,21,1411831,Surrealism,Watercolor,Yellow,3.69,165,128,1972,51305.2,0,1,Online Gallery
150,Georgia O'Keeffe,18,1308375,Abstract,Oil,Yellow,3.69,143,70,1972,51305.2,1,0,Instagram
151,Claude Monet,44,1439467,Abstract,Ink,Green,3.69,130,89,1959,51305.2,1,1,Instagram
152,Claude Monet,40,1226381,Cubism,Watercolor,Green,3.69,196,116,1883,51305.2,0,0,Instagram
153,Pablo Picasso,28,3689434,Abstract,Digital,Blue,3.69,90,72,1992,51305.2,0,0,Instagram
154,Henri Matisse,49,2143897,Modern,Ink,Green,3.69,39,81,1994,51305.2,1,1,Instagram
155,Salvador Dalí,31,2850929,Surrealism,Acrylic,Blue,3.69,36,50,1941,51305.2,0,0,Instagram
156,Michelangelo,29,2811299,Impressionism,Oil,White,3.69,64,181,2008,51305.2,1,0,Instagram
157,Andy Warhol,36,871555,Realism,Watercolor,Green,3.69,120,194,1962,51305.2,0,1,Art Marketplace
158,Michelangelo,22,4906699,Cubism,Watercolor,Black,3.69,71,151,1930,51305.2,0,0,Art Marketplace
159,Rembrandt,22,3085640,Surrealism,Oil,Green,3.69,117,162,1995,51305.2,0,0,Online Gallery
160,Jackson Pollock,41,3581297,Modern,Ink,Blue,3.69,58,73,1987,51305.2,1,0,Online Gallery
161,Andy Warhol,30,3093300,Surrealism,Acrylic,Yellow,3.69,184,163,1916,51305.2,0,0,Online Gallery
162,Rembrandt,13,124097,Impressionism,Digital,Green,3.69,67,107,1915,51305.2,0,1,Instagram
163,Georgia O'Keeffe,39,1101878,Cubism,Ink,Yellow,3.69,31,160,1948,51305.2,1,0,Art Marketplace
164,Jackson Pollock,12,1785915,Surrealism,Oil,Yellow,3.69,54,94,1981,51305.2,1,0,Instagram
165,Vincent van Gogh,24,3566379,Modern,Ink,Green,3.69,67,188,2010,51305.2,0,0,Instagram
166,Pablo Picasso,46,792670,Cubism,Ink,Green,3.69,88,74,2022,51305.2,0,0,Art Marketplace
167,Johannes Vermeer,26,4018770,Modern,Oil,Black,3.69,135,143,1956,51305.2,1,1,Instagram
168,Andy Warhol,23,3294849,Cubism,Oil,White,3.69,36,103,1984,51305.2,0,1,Online Gallery
169,Andy Warhol,34,4780785,Realism,Digital,Blue,3.69,137,84,1902,51305.2,1,0,Instagram
170,Paul Cézanne,32,3479506,Impressionism,Oil,Green,3.69,70,89,1926,51305.2,1,0,Art Marketplace
171,Georgia O'Keeffe,39,3689695,Realism,Oil,Yellow,3.69,134,188,1913,51305.2,1,1,Online Gallery
172,Salvador Dalí,47,3447377,Abstract,Oil,Yellow,3.69,123,144,1920,51305.2,0,1,Instagram
173,Claude Monet,15,1367061,Modern,Watercolor,Green,3.69,53,68,1926,51305.2,1,0,Instagram
174,Jackson Pollock,35,4693589,Realism,Oil,Blue,3.69,65,153,1914,51305.2,0,0,Instagram
175,Georgia O'Keeffe,43,579662,Modern,Oil,White,3.69,109,133,2014,51305.2,1,0,Online Gallery
176,Frida Kahlo,40,4756770,Cubism,Oil,Yellow,3.69,167,77,1924,51305.2,1,1,Online Gallery
177,Henri Matisse,34,1466121,Modern,Digital,White,3.69,50,109,1936,51305.2,1,1,Online Gallery
178,Claude Monet,27,3601198,Abstract,Ink,White,3.69,56,56,1996,51305.2,1,1,Instagram
179,Pablo Picasso,23,2320590,Modern,Oil,Black,3.69,84,45,1990,51305.2,0,0,Art Marketplace
180,Claude Monet,16,1682003,Cubism,Oil,Yellow,3.69,114,138,1949,51305.2,0,1,Art Marketplace
181,Salvador Dalí,19,996166,Cubism,Digital,Blue,3.69,162,161,1982,51305.2,1,1,Art Marketplace
182,Gustav Klimt,35,3919940,Realism,Ink,Red,3.69,146,199,1928,51305.2,1,0,Art Marketplace
183,Paul Cézanne,47,3579115,Impressionism,Digital,Black,3.69,88,146,1926,51305.2,0,0,Instagram
184,Claude Monet,41,668622,Surrealism,Acrylic,Black,3.69,193,120,1980,51305.2,1,0,Online Gallery
185,Pablo Picasso,41,4111502,Realism,Acrylic,Red,3.69,103,166,1889,51305.2,1,0,Instagram
186,Salvador Dalí,19,2254009,Abstract,Acrylic,Black,3.69,63,182,1965,51305.2,0,0,Online Gallery
187,Michelangelo,33,4542671,Surrealism,Oil,Black,3.69,81,117,1978,51305.2,1,1,Instagram
188,Andy Warhol,47,1570433,Modern,Digital,Black,3.69,163,87,1917,51305.2,0,1,Instagram
189,Gustav Klimt,30,2672083,Realism,Oil,Yellow,3.69,171,47,1915,51305.2,0,1,Online Gallery
190,Paul Cézanne,48,1252305,Surrealism,Acrylic,Yellow,3.69,88,119,1939,51305.2,0,0,Online Gallery
191,Andy Warhol,6,1581446,Realism,Ink,Green,3.69,86,103,1953,51305.2,0,0,Instagram
192,Henri Matisse,24,2001360,Modern,Ink,Green,3.69,149,73,1975,51305.2,1,0,Online Gallery
193,Rembrandt,19,4110821,Cubism,Digital,Yellow,3.69,66,139,1953,51305.2,0,0,Online Gallery
194,Gustav Klimt,8,633292,Realism,Ink,Black,3.69,61,195,1953,51305.2,1,1,Instagram
195,Gustav Klimt,26,2666440,Abstract,Acrylic,Blue,3.69,49,110,1993,51305.2,0,0,Art Marketplace
196,Michelangelo,42,631880,Surrealism,Digital,Red,3.69,155,157,2016,51305.2,0,1,Instagram
197,Michelangelo,27,3151813,Surrealism,Digital,Green,3.69,110,39,1892,51305.2,1,1,Instagram
198,Jackson Pollock,30,4083832,Surrealism,Acrylic,Black,3.69,138,92,1961,51305.2,1,1,Instagram
199,Edvard Munch,15,2986578,Realism,Acrylic,Green,3.69,81,123,1990,51305.2,0,0,Instagram
200,Claude Monet,32,4392115,Modern,Acrylic,White,3.69,117,75,1936,51305.2,0,1,Art Marketplace
201,Gustav Klimt,6,1957317,Realism,Acrylic,Blue,3.69,114,31,1890,51305.2,0,1,Online Gallery
202,Johannes Vermeer,12,3660980,Realism,Digital,White,3.69,108,143,1885,51305.2,0,0,Art Marketplace
203,Andy Warhol,33,2809700,Cubism,Ink,Black,3.69,168,177,2021,51305.2,1,0,Online Gallery
204,Pablo Picasso,15,1719849,Surrealism,Acrylic,Yellow,3.69,130,32,1908,51305.2,1,1,Art Marketplace
205,Leonardo da Vinci,41,3951492,Modern,Watercolor,Blue,3.69,187,65,1982,51305.2,0,1,Instagram
206,Edvard Munch,22,4254199,Impressionism,Digital,Green,3.69,89,34,2022,51305.2,0,1,Art Marketplace
207,Johannes Vermeer,18,2338793,Modern,Oil,Black,3.69,175,49,1948,51305.2,0,1,Art Marketplace
208,Leonardo da Vinci,14,404319,Realism,Ink,White,3.69,149,32,1965,51305.2,1,0,Instagram
209,Paul Cézanne,39,913478,Abstract,Digital,Black,3.69,155,32,1898,51305.2,0,0,Art Marketplace
210,Salvador Dalí,13,4524161,Modern,Acrylic,Red,3.69,41,129,1909,51305.2,1,0,Online Gallery
211,Andy Warhol,39,4413545,Surrealism,Watercolor,Red,3.69,131,99,1896,51305.2,1,0,Instagram
212,Andy Warhol,15,4782231,Abstract,Oil,White,3.69,141,117,2023,51305.2,1,0,Online Gallery
213,Edvard Munch,48,1535520,Impressionism,Ink,Red,3.69,69,157,1947,51305.2,1,0,Online Gallery
214,Gustav Klimt,16,3912911,Impressionism,Acrylic,Yellow,3.69,48,76,1912,51305.2,1,0,Instagram
215,Henri Matisse,7,4077220,Abstract,Digital,Black,3.69,116,131,1915,51305.2,0,1,Online Gallery
216,Edvard Munch,43,2180640,Impressionism,Digital,Black,3.69,129,66,1890,51305.2,1,1,Online Gallery
217,Leonardo da Vinci,18,3505777,Abstract,Ink,Green,3.69,184,37,1999,51305.2,0,0,Instagram
218,Edvard Munch,32,2596766,Realism,Watercolor,Yellow,3.69,109,131,1883,51305.2,0,1,Instagram
219,Johannes Vermeer,15,4464425,Abstract,Acrylic,Red,3.69,36,142,1979,51305.2,0,1,Art Marketplace
220,Andy Warhol,43,3385829,Realism,Ink,Black,3.69,106,136,1884,51305.2,1,0,Instagram
221,Henri Matisse,29,3467513,Surrealism,Ink,Red,3.69,84,158,1964,51305.2,0,1,Art Marketplace
222,Claude Monet,25,2496636,Surrealism,Digital,Blue,3.69,120,74,2011,51305.2,0,0,Instagram
223,Frida Kahlo,14,1632295,Impressionism,Ink,Yellow,3.69,188,39,1993,51305.2,1,0,Online Gallery
224,Jackson Pollock,47,1729700,Cubism,Oil,Red,3.69,168,115,1914,51305.2,1,0,Online Gallery
225,Vincent van Gogh,19,4390288,Cubism,Oil,Yellow,3.69,174,116,1905,51305.2,0,1,Instagram
226,Michelangelo,23,4108617,Abstract,Acrylic,White,3.69,95,198,1898,51305.2,0,0,Art Marketplace
227,Edvard Munch,26,2772544,Realism,Ink,Black,3.69,96,41,1916,51305.2,1,1,Instagram
228,Paul Cézanne,25,1803950,Surrealism,Digital,Blue,3.69,127,37,2018,51305.2,0,1,Art Marketplace
229,Rembrandt,48,3851790,Surrealism,Acrylic,Green,3.69,143,153,1945,51305.2,1,1,Instagram
230,Salvador Dalí,36,3817973,Surrealism,Watercolor,Blue,3.69,189,74,2007,51305.2,1,1,Art Marketplace
231,Frida Kahlo,27,2789629,Impressionism,Digital,Yellow,3.69,181,117,1910,51305.2,1,0,Instagram
232,Jackson Pollock,17,4673241,Surrealism,Watercolor,Blue,3.69,42,158,1923,51305.2,1,1,Online Gallery
233,Jackson Pollock,9,1833016,Cubism,Acrylic,Black,3.69,179,183,1895,51305.2,0,1,Art Marketplace
234,Jackson Pollock,8,507827,Modern,Oil,Yellow,3.69,176,115,1881,51305.2,0,1,Art Marketplace
235,Jackson Pollock,32,577551,Impressionism,Digital,Yellow,3.69,196,136,1938,51305.2,0,0,Online Gallery
236,Leonardo da Vinci,18,2324726,Abstract,Digital,Black,3.69,50,188,1999,51305.2,0,1,Instagram
237,Paul Cézanne,12,1158396,Modern,Acrylic,White,3.69,173,85,1887,51305.2,0,1,Instagram
238,Paul Cézanne,13,704830,Impressionism,Digital,Red,3.69,164,127,1915,51305.2,0,1,Instagram
239,Henri Matisse,39,3893914,Impressionism,Digital,Green,3.69,113,66,1986,51305.2,0,1,Instagram
240,Johannes Vermeer,41,494454,Realism,Acrylic,White,3.69,141,161,1904,51305.2,1,1,Art Marketplace
241,Michelangelo,25,1343943,Modern,Ink,White,3.69,155,101,2004,51305.2,1,0,Instagram
242,Andy Warhol,22,429363,Modern,Acrylic,Blue,3.69,107,150,1883,51305.2,0,0,Instagram
243,Jackson Pollock,37,2655554,Cubism,Digital,White,3.69,183,124,1988,51305.2,0,0,Online Gallery
244,Rembrandt,12,1583894,Modern,Acrylic,Green,3.69,115,116,1988,51305.2,0,0,Online Gallery
245,Andy Warhol,21,4551499,Surrealism,Digital,Green,3.69,134,197,1999,51305.2,0,0,Art Marketplace
