artwork_id,upload_date,views,likes,comments,shares,saves,avg_view_time_sec,featured_flag,ad_promoted,days_since_upload,return_visitors_pct,engagement_score,sold_flag,sale_days_after_upload
28,2020-01-02 03:00:00,474357,241195,3348,5507,116546,239.75,1,0,312,34.31,15.87,0,172
29,2020-01-02 04:00:00,429717,190974,2789,17602,37332,239.75,0,0,51,34.31,15.87,1,216
30,2020-01-02 05:00:00,433147,253379,26876,38266,141991,239.75,1,1,584,34.31,15.87,1,91
31,2020-01-02 06:00:00,439339,257360,11712,2796,109450,239.75,0,0,440,34.31,15.87,1,115
32,2020-01-02 07:00:00,170750,84106,18077,39213,110180,239.75,0,0,65,34.31,15.87,1,226
33,2020-01-02 08:00:00,220106,5678,7891,32274,44819,239.75,1,0,82,34.31,15.87,0,80
34,2020-01-02 09:00:00,372281,42908,29308,18176,65811,239.75,0,0,480,34.31,15.87,0,97
35,2020-01-02 10:00:00,193597,196871,16713,31815,144295,239.75,0,0,485,34.31,15.87,0,21
36,2020-01-02 11:00:00,152810,18122,23715,50241,118383,239.75,1,0,7,34.31,15.87,0,231
37,2020-01-02 12:00:00,328119,20728,16256,44083,120494,239.75,0,0,573,34.31,15.87,0,42
38,2020-01-02 13:00:00,284214,167825,8271,46327,98607,239.75,0,0,427,34.31,15.87,0,19
39,2020-01-02 14:00:00,325247,228370,13752,45794,139265,239.75,0,0,310,34.31,15.87,0,48
40,2020-01-02 15:00:00,440752,213024,5874,59600,5763,239.75,0,0,511,34.31,15.87,1,99
41,2020-01-02 16:00:00,129268,292249,11438,14590,131254,239.75,1,0,430,34.31,15.87,1,235
42,2020-01-02 17:00:00,285889,202362,12163,56235,71746,239.75,0,0,345,34.31,15.87,1,177
43,2020-01-02 18:00:00,350543,122796,26240,46834,93944,239.75,1,1,497,34.31,15.87,1,114
44,2020-01-02 19:00:00,413694,49007,16336,5375,10393,239.75,0,0,233,34.31,15.87,0,59
45,2020-01-02 20:00:00,417809,117995,3154,56934,70890,239.75,1,0,239,34.31,15.87,0,58
46,2020-01-02 21:00:00,391259,254357,16788,23582,120084,239.75,1,1,19,34.31,15.87,0,19
47,2020-01-02 22:00:00,468704,167301,14029,17673,92723,239.75,0,0,67,34.31,15.87,1,217
48,2020-01-02 23:00:00,285813,5070,20296,30793,75310,239.75,1,1,193,34.31,15.87,0,89
49,2020-01-03 00:00:00,124655,22979,22862,4177,79067,239.75,0,0,206,34.31,15.87,0,218
50,2020-01-03 01:00:00,143993,299127,524,23733,52934,239.75,1,0,366,34.31,15.87,1,237
51,2020-01-03 02:00:00,252555,234987,520,1638,102294,239.75,0,1,472,34.31,15.87,1,239
52,2020-01-03 03:00:00,499393,198569,7377,15795,22288,239.75,0,0,490,34.31,15.87,0,112
53,2020-01-03 04:00:00,276759,141052,11244,24889,144798,239.75,0,0,546,34.31,15.87,0,3
54,2020-01-03 05:00:00,1141,40945,3005,41157,46919,239.75,1,0,247,34.31,15.87,0,231
55,2020-01-03 06:00:00,125938,159812,19786,44574,98984,239.75,0,0,308,34.31,15.87,0,37
56,2020-01-03 07:00:00,69558,2590,14500,18595,66276,239.75,0,0,194,34.31,15.87,0,151
57,2020-01-03 08:00:00,448909,227222,11129,52493,135884,239.75,0,1,546,34.31,15.87,0,149
58,2020-01-03 09:00:00,170640,256280,382,30432,138902,239.75,0,0,435,34.31,15.87,0,237
59,2020-01-03 10:00:00,343754,98265,10386,30428,99703,239.75,0,0,440,34.31,15.87,0,222
60,2020-01-03 11:00:00,18279,37833,24162,42066,85336,239.75,0,0,588,34.31,15.87,1,227
61,2020-01-03 12:00:00,160371,8012,6671,201,91732,239.75,1,0,161,34.31,15.87,0,112
62,2020-01-03 13:00:00,352037,108375,22385,43606,25158,239.75,1,1,35,34.31,15.87,0,4
63,2020-01-03 14:00:00,392442,121033,17449,8104,136792,239.75,0,0,332,34.31,15.87,1,86
64,2020-01-03 15:00:00,452911,56742,23714,2183,128841,239.75,0,1,556,34.31,15.87,1,155
65,2020-01-03 16:00:00,149303,273732,23873,43223,127357,239.75,1,0,322,34.31,15.87,1,38
66,2020-01-03 17:00:00,407793,276930,14496,32325,119889,239.75,1,1,541,34.31,15.87,0,164
67,2020-01-03 18:00:00,121666,43856,22831,40804,71086,239.75,0,0,86,34.31,15.87,0,124
68,2020-01-03 19:00:00,5770,46332,28591,10143,118749,239.75,0,0,184,34.31,15.87,0,158
69,2020-01-03 20:00:00,478815,147377,28086,17450,61679,239.75,0,0,189,34.31,15.87,1,211
70,2020-01-03 21:00:00,71643,142743,6485,2717,31454,239.75,0,0,429,34.31,15.87,0,90
71,2020-01-03 22:00:00,456841,51089,28451,22702,52366,239.75,0,1,586,34.31,15.87,0,80
72,2020-01-03 23:00:00,417906,293853,22604,24825,90062,239.75,0,0,293,34.31,15.87,0,180
73,2020-01-04 00:00:00,308955,123755,8946,48514,18595,239.75,0,0,209,34.31,15.87,0,146
74,2020-01-04 01:00:00,487738,207404,21317,21897,89093,239.75,1,0,228,34.31,15.87,1,212
75,2020-01-04 02:00:00,372517,20507,10063,20433,93635,239.75,1,0,44,34.31,15.87,0,53
76,2020-01-04 03:00:00,80069,195440,2915,16972,105174,239.75,0,0,564,34.31,15.87,0,22
77,2020-01-04 04:00:00,341489,294833,17311,30096,73738,239.75,0,0,249,34.31,15.87,0,178
78,2020-01-04 05:00:00,179033,124962,25880,16207,24199,239.75,0,1,287,34.31,15.87,0,134
79,2020-01-04 06:00:00,317516,204698,25030,10068,15811,239.75,0,1,599,34.31,15.87,1,144
80,2020-01-04 07:00:00,316963,19543,7314,51836,7596,239.75,0,0,159,34.31,15.87,0,76
81,2020-01-04 08:00:00,176883,141672,6395,58571,93562,239.75,0,0,557,34.31,15.87,1,229
82,2020-01-04 09:00:00,316162,201313,8755,54095,95814,239.75,0,0,485,34.31,15.87,0,214
83,2020-01-04 10:00:00,166893,211568,23928,43835,41948,239.75,0,0,150,34.31,15.87,0,19
84,2020-01-04 11:00:00,360313,45478,21213,48397,76716,239.75,0,1,504,34.31,15.87,0,94
85,2020-01-04 12:00:00,478688,171716,4013,51465,21720,239.75,0,1,327,34.31,15.87,1,78
86,2020-01-04 13:00:00,34350,141430,22709,58128,59120,239.75,1,1,458,34.31,15.87,1,66
87,2020-01-04 14:00:00,109276,99842,7185,9106,10085,239.75,0,0,552,34.31,15.87,0,214
88,2020-01-04 15:00:00,23999,160963,22137,24456,31936,239.75,0,0,578,34.31,15.87,0,61
89,2020-01-04 16:00:00,430403,70963,6231,3775,54671,239.75,0,1,27,34.31,15.87,1,208
90,2020-01-04 17:00:00,295821,87523,6845,28845,18861,239.75,0,0,268,34.31,15.87,0,212
91,2020-01-04 18:00:00,388506,263528,23922,4794,85819,239.75,0,0,573,34.31,15.87,0,49
92,2020-01-04 19:00:00,25403,254409,12610,23237,23338,239.75,0,0,104,34.31,15.87,0,33
93,2020-01-04 20:00:00,1678,52737,2500,42871,109728,239.75,0,0,235,34.31,15.87,1,78
94,2020-01-04 21:00:00,302798,91637,17993,27006,59462,239.75,0,0,505,34.31,15.87,1,77
95,2020-01-04 22:00:00,135270,272588,27334,23727,69479,239.75,0,1,115,34.31,15.87,1,69
96,2020-01-04 23:00:00,470503,57185,12718,20433,53119,239.75,0,0,147,34.31,15.87,0,57
97,2020-01-05 00:00:00,469105,58249,25879,13920,9338,239.75,1,0,280,34.31,15.87,1,94
98,2020-01-05 01:00:00,163252,57237,17558,2692,104728,239.75,0,0,445,34.31,15.87,1,186
99,2020-01-05 02:00:00,286110,248831,15358,14325,14336,239.75,1,1,423,34.31,15.87,1,167
100,2020-01-05 03:00:00,348060,30980,28823,62,35529,239.75,0,0,21,34.31,15.87,0,49
101,2020-01-05 04:00:00,315568,287717,4638,21275,108781,239.75,0,0,150,34.31,15.87,1,70
102,2020-01-05 05:00:00,197856,73317,24119,50474,60555,239.75,0,1,557,34.31,15.87,1,10
103,2020-01-05 06:00:00,56083,177802,19601,12807,88534,239.75,0,0,374,34.31,15.87,0,208
104,2020-01-05 07:00:00,259318,178838,16269,33913,16519,239.75,0,1,111,34.31,15.87,1,107
105,2020-01-05 08:00:00,366289,269033,14737,57761,130119,239.75,0,0,479,34.31,15.87,1,162
106,2020-01-05 09:00:00,377582,231314,20808,14060,137665,239.75,0,0,163,34.31,15.87,1,209
107,2020-01-05 10:00:00,251568,125328,5155,47609,48712,239.75,0,0,443,34.31,15.87,1,47
108,2020-01-05 11:00:00,250500,293776,11925,21928,21179,239.75,0,0,180,34.31,15.87,1,133
109,2020-01-05 12:00:00,249980,60269,4174,50253,62995,239.75,0,0,358,34.31,15.87,1,41
110,2020-01-05 13:00:00,498604,222130,19542,43187,105445,239.75,1,0,323,34.31,15.87,1,225
111,2020-01-05 14:00:00,54629,99282,21216,40176,110821,239.75,1,0,518,34.31,15.87,0,96
112,2020-01-05 15:00:00,196643,270278,28878,43908,147835,239.75,0,1,411,34.31,15.87,1,95
113,2020-01-05 16:00:00,175098,190854,17719,53660,103859,239.75,1,1,214,34.31,15.87,1,31
114,2020-01-05 17:00:00,216851,228199,22762,57490,100190,239.75,0,0,321,34.31,15.87,1,3
115,2020-01-05 18:00:00,423981,116461,25312,42102,55905,239.75,0,0,161,34.31,15.87,1,39
116,2020-01-05 19:00:00,162914,112567,10809,26777,76269,239.75,0,0,198,34.31,15.87,0,54
117,2020-01-05 20:00:00,6264,255246,16791,52090,55489,239.75,1,0,301,34.31,15.87,1,14
118,2020-01-05 21:00:00,112213,142594,4813,10570,80706,239.75,0,1,118,34.31,15.87,1,127
119,2020-01-05 22:00:00,202522,61442,8334,36651,7204,239.75,0,1,502,34.31,15.87,1,55
120,2020-01-05 23:00:00,189570,145922,11824,52248,50668,239.75,1,0,223,34.31,15.87,0,138
121,2020-01-06 00:00:00,179813,104915,28737,11484,71607,239.75,0,0,138,34.31,15.87,0,177
122,2020-01-06 01:00:00,211769,72108,24465,24209,33926,239.75,0,0,42,34.31,15.87,0,185
123,2020-01-06 02:00:00,144091,199774,21875,52262,53931,239.75,0,0,25,34.31,15.87,1,48
124,2020-01-06 03:00:00,44383,98864,27985,8679,113338,239.75,0,0,249,34.31,15.87,0,194
125,2020-01-06 04:00:00,32275,102365,7164,34600,43643,239.75,1,1,46,34.31,15.87,1,226
126,2020-01-06 05:00:00,267176,25676,6293,7657,3699,239.75,0,0,486,34.31,15.87,0,165
127,2020-01-06 06:00:00,26030,140027,3468,33786,60561,239.75,0,1,354,34.31,15.87,1,161
128,2020-01-06 07:00:00,54646,18264,19142,33109,146361,239.75,0,0,519,34.31,15.87,0,198
129,2020-01-06 08:00:00,306828,6209,25216,51385,117529,239.75,1,1,147,34.31,15.87,1,167
130,2020-01-06 09:00:00,229932,158892,3201,3807,145016,239.75,0,1,155,34.31,15.87,1,149
131,2020-01-06 10:00:00,453082,6400,27734,21538,291,239.75,0,1,44,34.31,15.87,1,138
132,2020-01-06 11:00:00,465190,270765,220,48818,59882,239.75,0,0,583,34.31,15.87,1,169
133,2020-01-06 12:00:00,311300,32953,8943,30564,91680,239.75,0,0,43,34.31,15.87,1,169
134,2020-01-06 13:00:00,144034,87403,5604,2524,107258,239.75,1,0,571,34.31,15.87,0,155
135,2020-01-06 14:00:00,48497,27679,225,23790,29741,239.75,1,1,500,34.31,15.87,0,184
136,2020-01-06 15:00:00,467198,109606,29804,53301,67478,239.75,0,0,48,34.31,15.87,0,29
137,2020-01-06 16:00:00,143254,8061,28187,36782,109924,239.75,0,0,329,34.31,15.87,1,195
138,2020-01-06 17:00:00,389497,282487,26130,16172,86950,239.75,0,0,505,34.31,15.87,0,70
139,2020-01-06 18:00:00,205708,163764,12234,41191,149300,239.75,0,0,342,34.31,15.87,1,215
140,2020-01-06 19:00:00,170372,236034,14229,56424,47343,239.75,0,0,8,34.31,15.87,0,83
141,2020-01-06 20:00:00,166314,37013,14126,15701,119248,239.75,0,0,312,34.31,15.87,1,56
142,2020-01-06 21:00:00,378257,65257,29229,366,128481,239.75,1,0,336,34.31,15.87,0,110
143,2020-01-06 22:00:00,105981,23126,2166,44596,87020,239.75,0,0,542,34.31,15.87,1,160
144,2020-01-06 23:00:00,21686,106755,18937,46530,68758,239.75,1,1,512,34.31,15.87,1,27
145,2020-01-07 00:00:00,197034,119939,7596,49645,37936,239.75,0,1,219,34.31,15.87,1,239
146,2020-01-07 01:00:00,40645,130788,9191,57164,81714,239.75,1,0,195,34.31,15.87,0,110
147,2020-01-07 02:00:00,293955,167534,23822,12225,30222,239.75,1,0,485,34.31,15.87,1,190
148,2020-01-07 03:00:00,350173,107896,23347,6463,30100,239.75,1,0,503,34.31,15.87,0,113
149,2020-01-07 04:00:00,214643,1260,12508,22257,124293,239.75,0,0,164,34.31,15.87,0,159
150,2020-01-07 05:00:00,121069,92655,23444,11183,31111,239.75,0,0,532,34.31,15.87,0,42
151,2020-01-07 06:00:00,341645,114563,1858,6344,141344,239.75,0,0,308,34.31,15.87,0,194
152,2020-01-07 07:00:00,127430,122485,20547,57382,4436,239.75,0,0,444,34.31,15.87,0,86
153,2020-01-07 08:00:00,304964,158986,28740,10176,60263,239.75,0,0,24,34.31,15.87,0,143
154,2020-01-07 09:00:00,133916,105000,20708,51108,75400,239.75,1,0,547,34.31,15.87,0,16
155,2020-01-07 10:00:00,310636,22555,8396,40720,148701,239.75,1,1,319,34.31,15.87,0,124
156,2020-01-07 11:00:00,277676,178041,14291,27914,59419,239.75,0,0,264,34.31,15.87,0,50
157,2020-01-07 12:00:00,32544,69700,21579,33034,46301,239.75,0,0,581,34.31,15.87,1,182
158,2020-01-07 13:00:00,395791,218694,6838,38709,55127,239.75,1,1,388,34.31,15.87,1,4
159,2020-01-07 14:00:00,35719,148800,5950,55233,110034,239.75,0,0,420,34.31,15.87,0,234
160,2020-01-07 15:00:00,170521,121294,9311,57095,112745,239.75,1,0,385,34.31,15.87,0,126
161,2020-01-07 16:00:00,359249,171058,22047,35469,106848,239.75,0,0,583,34.31,15.87,1,157
162,2020-01-07 17:00:00,154240,162178,28737,18221,9368,239.75,1,0,209,34.31,15.87,0,16
163,2020-01-07 18:00:00,79232,108917,4943,9834,36372,239.75,0,0,92,34.31,15.87,1,96
164,2020-01-07 19:00:00,219667,215147,28148,42819,65427,239.75,0,0,391,34.31,15.87,0,122
165,2020-01-07 20:00:00,28750,8196,13186,36239,72961,239.75,0,0,54,34.31,15.87,0,192
166,2020-01-07 21:00:00,479370,175858,16920,38726,126254,239.75,0,0,492,34.31,15.87,0,201
167,2020-01-07 22:00:00,26154,205397,7635,53920,105251,239.75,0,0,35,34.31,15.87,1,229
168,2020-01-07 23:00:00,261272,57479,6850,52056,47216,239.75,1,0,96,34.31,15.87,1,233
169,2020-01-08 00:00:00,246867,12171,23498,54917,31487,239.75,0,0,537,34.31,15.87,1,118
170,2020-01-08 01:00:00,227070,227144,10797,26547,46854,239.75,0,0,289,34.31,15.87,1,195
171,2020-01-08 02:00:00,268359,158896,7512,42909,67573,239.75,1,0,540,34.31,15.87,1,113
172,2020-01-08 03:00:00,35838,66892,8283,16774,38730,239.75,0,0,34,34.31,15.87,0,43
173,2020-01-08 04:00:00,22884,159199,2307,14449,318,239.75,0,0,424,34.31,15.87,0,199
174,2020-01-08 05:00:00,36236,217301,18653,41490,22874,239.75,0,0,459,34.31,15.87,0,48
175,2020-01-08 06:00:00,84503,118727,4993,1598,148999,239.75,0,0,202,34.31,15.87,0,76
176,2020-01-08 07:00:00,492257,211296,29358,49666,108860,239.75,0,0,38,34.31,15.87,0,226
177,2020-01-08 08:00:00,207008,168209,8391,41929,4895,239.75,1,0,180,34.31,15.87,1,221
178,2020-01-08 09:00:00,365863,84835,8043,30878,478,239.75,1,1,470,34.31,15.87,1,171
179,2020-01-08 10:00:00,271510,250463,8382,5038,61826,239.75,0,0,69,34.31,15.87,1,163
180,2020-01-08 11:00:00,320012,158695,5421,34556,129893,239.75,0,0,353,34.31,15.87,0,82
181,2020-01-08 12:00:00,296053,120973,7537,5132,24497,239.75,0,1,64,34.31,15.87,1,130
182,2020-01-08 13:00:00,411557,230533,4028,22622,69655,239.75,0,0,519,34.31,15.87,1,208
183,2020-01-08 14:00:00,9230,14058,13197,42696,42956,239.75,0,0,381,34.31,15.87,1,166
184,2020-01-08 15:00:00,267685,296328,23939,27282,57268,239.75,0,0,578,34.31,15.87,1,210
185,2020-01-08 16:00:00,363543,143223,22321,50593,142159,239.75,0,0,591,34.31,15.87,0,135
186,2020-01-08 17:00:00,424070,85760,9272,13027,89343,239.75,0,0,247,34.31,15.87,0,11
187,2020-01-08 18:00:00,58637,73540,25772,29458,111084,239.75,1,0,179,34.31,15.87,1,94
188,2020-01-08 19:00:00,337812,289799,3312,42769,40487,239.75,0,0,411,34.31,15.87,0,161
189,2020-01-08 20:00:00,83319,139050,27488,58688,123790,239.75,0,0,184,34.31,15.87,1,28
190,2020-01-08 21:00:00,395445,294427,26383,52863,33036,239.75,1,0,452,34.31,15.87,0,192
191,2020-01-08 22:00:00,323217,174403,17446,58460,34667,239.75,1,1,595,34.31,15.87,0,187
192,2020-01-08 23:00:00,267452,11164,28670,36850,76308,239.75,0,0,508,34.31,15.87,1,13
193,2020-01-09 00:00:00,229340,31858,27606,57135,27493,239.75,0,1,407,34.31,15.87,1,112
194,2020-01-09 01:00:00,398901,133849,11399,50059,84302,239.75,0,0,271,34.31,15.87,0,72
195,2020-01-09 02:00:00,271019,23184,27090,29415,103927,239.75,0,0,10,34.31,15.87,0,74
196,2020-01-09 03:00:00,261328,101017,11821,53226,52879,239.75,1,0,293,34.31,15.87,0,169
197,2020-01-09 04:00:00,163561,55114,11571,59282,38776,239.75,0,0,385,34.31,15.87,1,95
198,2020-01-09 05:00:00,104433,205851,8954,3481,106096,239.75,1,0,409,34.31,15.87,1,73
199,2020-01-09 06:00:00,459517,254475,22418,55333,95866,239.75,1,1,74,34.31,15.87,0,118
200,2020-01-09 07:00:00,150427,223716,20953,29976,28344,239.75,0,0,12,34.31,15.87,1,132
201,2020-01-09 08:00:00,315451,160883,16081,36048,149871,239.75,0,0,235,34.31,15.87,0,5
202,2020-01-09 09:00:00,85804,110953,11637,44811,149530,239.75,0,0,539,34.31,15.87,0,37
203,2020-01-09 10:00:00,123172,240555,28700,34515,137275,239.75,0,1,292,34.31,15.87,0,174
204,2020-01-09 11:00:00,446645,204083,8242,47166,126305,239.75,1,1,396,34.31,15.87,0,118
205,2020-01-09 12:00:00,363856,109003,15373,22695,42351,239.75,0,0,265,34.31,15.87,0,36
206,2020-01-09 13:00:00,146694,54802,26864,50075,140550,239.75,0,1,463,34.31,15.87,0,62
207,2020-01-09 14:00:00,225160,159919,3594,645,140875,239.75,0,0,359,34.31,15.87,0,215
208,2020-01-09 15:00:00,119227,53225,10028,52923,61871,239.75,0,1,161,34.31,15.87,1,55
209,2020-01-09 16:00:00,486187,297491,11686,56687,129775,239.75,1,0,237,34.31,15.87,0,27
210,2020-01-09 17:00:00,137699,6688,18662,53683,130825,239.75,1,0,489,34.31,15.87,1,204
211,2020-01-09 18:00:00,225456,27117,27681,56830,82837,239.75,1,0,111,34.31,15.87,1,13
212,2020-01-09 19:00:00,313483,93381,22045,41622,49739,239.75,0,0,585,34.31,15.87,0,221
213,2020-01-09 20:00:00,263123,271181,9492,29918,113982,239.75,0,0,422,34.31,15.87,1,98
214,2020-01-09 21:00:00,229762,269022,20170,47233,57620,239.75,0,1,345,34.31,15.87,1,118
215,2020-01-09 22:00:00,453625,171717,22018,50144,41831,239.75,1,0,32,34.31,15.87,0,36
216,2020-01-09 23:00:00,391877,173283,9959,52424,123982,239.75,0,0,500,34.31,15.87,0,15
217,2020-01-10 00:00:00,334110,129990,17130,33945,142623,239.75,0,0,79,34.31,15.87,0,86
218,2020-01-10 01:00:00,376896,173089,3839,25680,14405,239.75,0,0,180,34.31,15.87,1,34
219,2020-01-10 02:00:00,252344,135127,9400,14444,65824,239.75,0,0,232,34.31,15.87,1,135
220,2020-01-10 03:00:00,258591,182379,8899,29469,41042,239.75,1,1,122,34.31,15.87,1,69
221,2020-01-10 04:00:00,412256,147651,21461,10212,104945,239.75,0,0,305,34.31,15.87,1,60
222,2020-01-10 05:00:00,86643,280154,19256,15837,146145,239.75,1,0,279,34.31,15.87,0,154
223,2020-01-10 06:00:00,97859,187751,11252,19437,45213,239.75,1,0,243,34.31,15.87,0,208
224,2020-01-10 07:00:00,29191,22032,22934,2931,106522,239.75,0,0,19,34.31,15.87,0,107
225,2020-01-10 08:00:00,358646,70273,10289,31803,108825,239.75,1,1,462,34.31,15.87,1,28
226,2020-01-10 09:00:00,380280,62638,1507,39887,131895,239.75,0,0,45,34.31,15.87,0,79
227,2020-01-10 10:00:00,73050,273170,3576,24946,698,239.75,0,0,327,34.31,15.87,0,204
228,2020-01-10 11:00:00,443548,31398,13817,18964,1691,239.75,0,0,459,34.31,15.87,0,209
229,2020-01-10 12:00:00,291261,129370,6798,59513,105475,239.75,0,1,500,34.31,15.87,0,168
230,2020-01-10 13:00:00,188868,271772,19262,2321,120522,239.75,0,0,388,34.31,15.87,1,83
231,2020-01-10 14:00:00,259986,92493,22291,43802,143764,239.75,1,0,74,34.31,15.87,1,103
232,2020-01-10 15:00:00,224337,154616,14696,55492,35182,239.75,0,0,260,34.31,15.87,0,89
233,2020-01-10 16:00:00,276801,146956,3240,48460,7936,239.75,0,0,407,34.31,15.87,0,214
234,2020-01-10 17:00:00,19905,105531,20014,47001,67286,239.75,0,0,502,34.31,15.87,1,69
235,2020-01-10 18:00:00,409250,104344,22021,43452,136168,239.75,1,0,204,34.31,15.87,0,236
236,2020-01-10 19:00:00,136272,29872,22081,2131,35826,239.75,1,1,338,34.31,15.87,0,204
237,2020-01-10 20:00:00,103096,65064,13405,29188,108883,239.75,1,0,452,34.31,15.87,0,189
238,2020-01-10 21:00:00,126455,123053,21931,21260,83255,239.75,0,1,144,34.31,15.87,0,152
239,2020-01-10 22:00:00,281939,123337,26130,1597,93687,239.75,0,1,180,34.31,15.87,0,165
240,2020-01-10 23:00:00,230030,135365,17693,15161,142140,239.75,0,0,533,34.31,15.87,0,30
241,2020-01-11 00:00:00,72788,129191,23664,47015,113245,239.75,0,1,106,34.31,15.87,0,138
242,2020-01-11 01:00:00,48323,164692,28783,53668,96205,239.75,0,0,244,34.31,15.87,0,190
243,2020-01-11 02:00:00,147386,235334,26732,8751,20039,239.75,1,0,529,34.31,15.87,1,122
244,2020-01-11 03:00:00,255168,66041,20257,5800,74009,239.75,1,0,349,34.31,15.87,1,113
245,2020-01-11 04:00:00,75365,71802,4533,46252,62127,239.75,0,1,182,34.31,15.87,0,75
246,2020-01-11 05:00:00,458861,148525,14620,4151,111015,239.75,1,1,511,34.31,15.87,0,77
247,2020-01-11 06:00:00,20462,171046,13123,20569,137791,239.75,0,1,422,34.31,15.87,0,17
248,2020-01-11 07:00:00,366026,205422,12297,4808,135389,239.75,1,0,306,34.31,15.87,0,67
249,2020-01-11 08:00:00,227386,115615,8786,34235,33937,239.75,0,0,421,34.31,15.87,1,5
250,2020-01-11 09:00:00,324889,208243,16735,22806,147751,239.75,0,0,165,34.31,15.87,1,194
251,2020-01-11 10:00:00,81372,21494,18331,29176,103059,239.75,0,1,192,34.31,15.87,0,129
252,2020-01-11 11:00:00,373443,170441,14393,18924,133564,239.75,0,0,351,34.31,15.87,1,117
253,2020-01-11 12:00:00,61514,58391,5689,42772,123019,239.75,0,0,81,34.31,15.87,1,82
254,2020-01-11 13:00:00,263899,286691,25741,6578,4028,239.75,0,0,240,34.31,15.87,0,7
255,2020-01-11 14:00:00,430551,136018,10468,16035,126010,239.75,0,0,399,34.31,15.87,1,199
256,2020-01-11 15:00:00,61255,20916,18298,27553,7149,239.75,0,0,471,34.31,15.87,1,102
257,2020-01-11 16:00:00,98186,217237,29066,7105,8311,239.75,0,0,447,34.31,15.87,1,130
258,2020-01-11 17:00:00,170019,26804,27723,4305,95147,239.75,1,0,265,34.31,15.87,0,218
259,2020-01-11 18:00:00,131009,16811,8104,53914,47398,239.75,1,0,578,34.31,15.87,0,214
260,2020-01-11 19:00:00,134423,186554,20932,16113,29366,239.75,0,0,586,34.31,15.87,0,56
261,2020-01-11 20:00:00,314913,146273,19790,4864,52381,239.75,1,0,456,34.31,15.87,0,169
262,2020-01-11 21:00:00,422647,44413,25621,25939,134722,239.75,0,0,491,34.31,15.87,0,34
263,2020-01-11 22:00:00,168754,225869,4292,4310,564,239.75,0,1,188,34.31,15.87,0,59
264,2020-01-11 23:00:00,270149,254469,27496,5285,36521,239.75,1,1,358,34.31,15.87,1,29
265,2020-01-12 00:00:00,341448,77810,11263,13425,44598,239.75,1,0,483,34.31,15.87,0,179
266,2020-01-12 01:00:00,126352,120935,18894,38054,123072,239.75,0,0,423,34.31,15.87,1,15
